station_name,latitude,longitude,district_name,station_link
Görlitzer Bahnhof,52.49916666666667,13.428055555555556,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_G%C3%B6rlitzer_Bahnhof
Grenzallee,52.46333333333333,13.443888888888889,Britz,https://de.wikipedia.org/wiki/U-Bahnhof_Grenzallee
Güntzelstraße,52.49194444444444,13.330833333333333,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_G%C3%BCntzelstra%C3%9Fe
Halemweg,52.53666666666667,13.286388888888888,Charlottenburg-Nord,https://de.wikipedia.org/wiki/U-Bahnhof_Halemweg
Hallesches Tor,52.49777777777778,13.391111111111112,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Hallesches_Tor
Hansaplatz,52.51777777777778,13.342222222222222,Hansaviertel,https://de.wikipedia.org/wiki/U-Bahnhof_Hansaplatz
Haselhorst,52.53888888888889,13.232777777777779,Haselhorst,https://de.wikipedia.org/wiki/U-Bahnhof_Haselhorst
Hauptbahnhof,52.525,13.369444444444444,Moabit,https://de.wikipedia.org/wiki/Berlin_Hauptbahnhof
Hausvogteiplatz,52.51305555555555,13.396666666666667,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Hausvogteiplatz
Heidelberger Platz,52.48,13.311944444444444,Wilmersdorf,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Heidelberger_Platz
Heinrich-Heine-Straße,52.51027777777778,13.415833333333333,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Heinrich-Heine-Stra%C3%9Fe
Hellersdorf,52.53666666666667,13.606388888888889,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Hellersdorf
Hermannplatz,52.48722222222222,13.424722222222222,Neukölln,https://de.wikipedia.org/wiki/U-Bahnhof_Hermannplatz
Hermannstraße,52.4675,13.43138888888889,Neukölln,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Hermannstra%C3%9Fe
Hohenzollernplatz,52.494166666666665,13.324722222222222,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Hohenzollernplatz
Holzhauser Straße,52.575833333333335,13.296111111111111,Tegel,https://de.wikipedia.org/wiki/U-Bahnhof_Holzhauser_Stra%C3%9Fe
Hönow,52.538333333333334,13.633888888888889,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_H%C3%B6now
Innsbrucker Platz,52.478611111111114,13.34388888888889,Schöneberg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Innsbrucker_Platz
Jakob-Kaiser-Platz,52.53666666666667,13.293333333333333,Charlottenburg-Nord,https://de.wikipedia.org/wiki/U-Bahnhof_Jakob-Kaiser-Platz
Jannowitzbrücke,52.515,13.418055555555556,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Jannowitzbr%C3%BCcke
Johannisthaler Chaussee,52.42944444444444,13.453055555555556,Gropiusstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Johannisthaler_Chaussee
