station_name,station_id,line_name,latitude,longitude,district_name,station_link
Klosterstraße,209,U2,52.51611111111111,13.412222222222223,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Klosterstra%C3%9Fe
Märkisches Museum,210,U2,52.511944444444445,13.408888888888889,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_M%C3%A4rkisches_Museum
Spittelmarkt,211,U2,52.51111111111111,13.403611111111111,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Spittelmarkt
Hausvogteiplatz,212,U2,52.51305555555555,13.396666666666667,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Hausvogteiplatz
Stadtmitte,213,U2,52.51222222222222,13.389444444444445,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Stadtmitte
Stadtmitte,620,U6,52.51222222222222,13.389444444444445,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Stadtmitte
Mohrenstraße,214,U2,52.51166666666666,13.384722222222223,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Mohrenstra%C3%9Fe
Potsdamer Platz,215,U2,52.50944444444445,13.375833333333333,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Potsdamer_Platz
Mendelssohn-Bartholdy-Park,216,U2,52.50388888888889,13.375,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Mendelssohn-Bartholdy-Park
Bülowstraße,218,U2,52.4975,13.363333333333333,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_B%C3%BClowstra%C3%9Fe
Zoologischer Garten,221,U2,52.507222222222225,13.3325,Charlottenburg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Zoologischer_Garten
Zoologischer Garten,909,U9,52.507222222222225,13.3325,Charlottenburg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Zoologischer_Garten
Ernst-Reuter-Platz,222,U2,52.511944444444445,13.322222222222223,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Ernst-Reuter-Platz
Deutsche Oper,223,U2,52.511944444444445,13.310555555555556,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Deutsche_Oper
Bismarckstraße,224,U2,52.51138888888889,13.304722222222223,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Bismarckstra%C3%9Fe
Bismarckstraße,714,U7,52.51138888888889,13.304722222222223,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Bismarckstra%C3%9Fe
Sophie-Charlotte-Platz,225,U2,52.51083333333333,13.296666666666667,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Sophie-Charlotte-Platz
Kaiserdamm,226,U2,52.51,13.282222222222222,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Kaiserdamm
Theodor-Heuss-Platz,227,U2,52.50972222222222,13.273055555555555,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Theodor-Heuss-Platz
Neu-Westend,228,U2,52.51555555555556,13.261111111111111,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Neu-Westend
Olympia-Stadion,229,U2,52.51722222222222,13.25,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Olympia-Stadion
Ruhleben,230,U2,52.525555555555556,13.241388888888888,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Ruhleben
Augsburger Straße,312,U3,52.50055555555556,13.336388888888889,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Augsburger_Stra%C3%9Fe
Nürnberger Platz,313,U3,52.498333333333335,13.334166666666667,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_N%C3%BCrnberger_Platz
Spichernstraße,314,U3,52.49666666666667,13.331111111111111,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Spichernstra%C3%9Fe
Spichernstraße,911,U9,52.49666666666667,13.331111111111111,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Spichernstra%C3%9Fe
Hohenzollernplatz,315,U3,52.494166666666665,13.324722222222222,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Hohenzollernplatz
Fehrbelliner Platz,316,U3,52.49027777777778,13.314166666666667,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Fehrbelliner_Platz
Fehrbelliner Platz,718,U7,52.49027777777778,13.314166666666667,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Fehrbelliner_Platz
Heidelberger Platz,317,U3,52.48,13.311944444444444,Wilmersdorf,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Heidelberger_Platz
Rüdesheimer Platz,318,U3,52.473333333333336,13.314444444444444,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_R%C3%BCdesheimer_Platz
Breitenbachplatz,319,U3,52.466944444444444,13.30861111111111,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Breitenbachplatz
Podbielskiallee,320,U3,52.464166666666664,13.295833333333333,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Podbielskiallee
Dahlem-Dorf,321,U3,52.4575,13.289722222222222,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Dahlem-Dorf
Freie Universität,322,U3,52.45111111111111,13.281944444444445,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Freie_Universit%C3%A4t_(Thielplatz)
